filename,status,name,team_id,submission_id,handle_nan,nan_key_simplest,nan_key_inductive,nan_in_list_simplest,nan_in_list_inductive,equal_values_simplest,equal_values_inductive
2_1.py,buggy,2_1,2,1,False,False,False,False,False,False,False
10_1.py,buggy,10_1,10,1,False,False,False,False,False,True,False
9_1.py,buggy,9_1,9,1,False,False,False,False,False,False,False
11_1.py,buggy,11_1,11,1,False,False,False,False,False,False,False
8_1.py,buggy,8_1,8,1,False,False,False,False,False,False,False
4_1.py,buggy,4_1,4,1,False,False,False,False,False,False,False
23_1.py,buggy,23_1,23,1,False,False,False,False,False,False,False
3_1.py,buggy,3_1,3,1,False,False,False,True,False,True,False
16_1.py,buggy,16_1,16,1,False,False,False,False,False,True,False
25_1.py,buggy,25_1,25,1,False,True,False,False,False,True,False
12_1.py,buggy,12_1,12,1,False,True,False,False,False,False,False
26_1.py,buggy,26_1,26,1,False,True,False,False,False,False,False
1_1.py,buggy,1_1,1,1,False,False,False,False,False,False,False
24_1.py,buggy,24_1,24,1,False,False,False,False,False,False,False
6_1.py,buggy,6_1,6,1,False,False,False,False,False,True,False
20_1.py,buggy,20_1,20,1,False,False,False,False,False,False,False
14_1.py,buggy,14_1,14,1,False,False,False,False,False,False,False
18_1.py,buggy,18_1,18,1,False,False,False,False,False,False,False
5_1.py,buggy,5_1,5,1,False,False,False,False,False,False,False
19_1.py,buggy,19_1,19,1,False,False,False,False,False,False,False
7_1.py,buggy,7_1,7,1,False,False,False,False,False,False,False
6_2.py,buggy,6_2,6,2,False,False,False,False,False,False,False
13_1.py,buggy,13_1,13,1,False,False,False,False,False,True,False
15_1.py,buggy,15_1,15,1,False,False,False,False,False,True,False
21_1.py,buggy,21_1,21,1,False,False,False,False,False,False,False
