filename,status,name,team_id,submission_id,return_int,starts_with_nonzero_digit,longest_integer_prefix,first_word_starts_with_nonzero,residue,no_integer_simplest,no_integer_inductive
2_1.py,buggy,2_1,2,1,True,False,False,False,False,True,False
22_1.py,buggy,22_1,22,1,True,False,True,False,False,False,False
10_1.py,buggy,10_1,10,1,True,False,False,True,False,True,False
9_1.py,buggy,9_1,9,1,False,False,True,False,False,False,False
19_2.py,buggy,19_2,19,2,True,False,True,True,False,True,False
11_1.py,buggy,11_1,11,1,True,False,True,True,False,True,False
8_1.py,buggy,8_1,8,1,True,False,False,True,False,True,False
4_1.py,buggy,4_1,4,1,True,False,False,True,False,True,False
23_1.py,buggy,23_1,23,1,False,False,True,False,False,False,False
3_1.py,buggy,3_1,3,1,False,False,False,False,False,False,False
16_1.py,buggy,16_1,16,1,True,False,False,True,False,True,False
17_1.py,buggy,17_1,17,1,False,False,True,False,False,False,False
25_1.py,buggy,25_1,25,1,True,False,True,True,False,True,False
12_1.py,buggy,12_1,12,1,True,False,True,True,False,True,False
26_1.py,buggy,26_1,26,1,True,False,True,True,False,True,False
1_1.py,buggy,1_1,1,1,False,False,True,False,False,False,False
9_2.py,buggy,9_2,9,2,False,False,True,False,False,False,False
24_1.py,buggy,24_1,24,1,False,False,False,False,False,True,False
8_2.py,buggy,8_2,8,2,True,False,False,False,False,True,False
6_1.py,buggy,6_1,6,1,True,False,False,True,False,True,False
20_1.py,buggy,20_1,20,1,False,False,True,False,False,False,False
14_1.py,buggy,14_1,14,1,True,False,False,True,False,True,False
5_1.py,buggy,5_1,5,1,True,False,True,True,False,True,False
19_1.py,buggy,19_1,19,1,False,False,True,False,False,False,False
7_1.py,buggy,7_1,7,1,True,False,True,True,False,True,False
13_1.py,buggy,13_1,13,1,False,False,True,False,False,False,False
11_2.py,buggy,11_2,11,2,True,False,False,False,False,True,False
15_1.py,buggy,15_1,15,1,False,False,True,False,False,False,False
21_1.py,buggy,21_1,21,1,False,False,True,False,False,False,False
